"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"03/01/2019","AQS","170310119","1","0.6","ppm","7","Kingery Near Road #1","19","79.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.6"
"03/02/2019","AQS","170310119","1","0.5","ppm","6","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.5"
"03/03/2019","AQS","170310119","1","0.3","ppm","3","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.3"
"03/04/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/05/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/06/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/07/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/08/2019","AQS","170310119","1","0.4","ppm","5","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.4"
"03/09/2019","AQS","170310119","1","0.4","ppm","5","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.4"
"03/10/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/11/2019","AQS","170310119","1","0.2","ppm","2","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.2"
"03/12/2019","AQS","170310119","1","0.5","ppm","6","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.5"
"03/13/2019","AQS","170310119","1","0.3","ppm","3","Kingery Near Road #1","12","50.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.3"
"03/18/2019","AQS","170310119","1","0.1","ppm","1","Kingery Near Road #1","9","38.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.1"
"03/19/2019","AQS","170310119","1","0.4","ppm","5","Kingery Near Road #1","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.5786196210494","-87.5574060746384",".","0.4"
